filename,path,bucket,label,duration,sample_rate,resampled,source_dataset,source_relpath,group_id,split,transcript,original_dataset
00072.wav,../test_set/audio/babble/00072.wav,babble,unknown,1.975000,16000,False,filipino_speech_corpus,audio/00072.wav,38,train,,
00157_c03.wav,../test_set/audio/babble/00157_c03.wav,babble,unknown,0.681187,16000,False,filipino_speech_corpus,audio/00157_c03.wav,106,val,,
00160.wav,../test_set/audio/babble/00160.wav,babble,unknown,0.953000,16000,False,filipino_speech_corpus,audio/00160.wav,20,train,,
00164.wav,../test_set/audio/babble/00164.wav,babble,unknown,0.861000,16000,False,filipino_speech_corpus,audio/00164.wav,45,val,,
00244.wav,../test_set/audio/babble/00244.wav,babble,unknown,1.095000,16000,False,filipino_speech_corpus,audio/00244.wav,19,train,,
00273.wav,../test_set/audio/babble/00273.wav,babble,unknown,0.975000,16000,False,filipino_speech_corpus,audio/00273.wav,59,val,,
00360.wav,../test_set/audio/babble/00360.wav,babble,unknown,1.429000,16000,False,filipino_speech_corpus,audio/00360.wav,08,test,,
00382.wav,../test_set/audio/babble/00382.wav,babble,unknown,1.883938,16000,False,filipino_speech_corpus,audio/00382.wav,147,train,,
00399.wav,../test_set/audio/babble/00399.wav,babble,unknown,0.831000,16000,False,filipino_speech_corpus,audio/00399.wav,25,train,,
00541.wav,../test_set/audio/babble/00541.wav,babble,unknown,0.825000,16000,False,filipino_speech_corpus,audio/00541.wav,48,train,,
00562_c00.wav,../test_set/audio/babble/00562_c00.wav,babble,unknown,1.179875,16000,False,filipino_speech_corpus,audio/00562_c00.wav,12,train,,
00685.wav,../test_set/audio/babble/00685.wav,babble,unknown,0.780000,16000,False,filipino_speech_corpus,audio/00685.wav,22,train,,
00705.wav,../test_set/audio/babble/00705.wav,babble,unknown,0.925000,16000,False,filipino_speech_corpus,audio/00705.wav,64,train,,
00765.wav,../test_set/audio/babble/00765.wav,babble,unknown,1.125000,16000,False,filipino_speech_corpus,audio/00765.wav,65,train,,
00794.wav,../test_set/audio/babble/00794.wav,babble,unknown,0.885000,16000,False,filipino_speech_corpus,audio/00794.wav,21,train,,
00809.wav,../test_set/audio/babble/00809.wav,babble,unknown,1.036000,16000,False,filipino_speech_corpus,audio/00809.wav,132,train,,
00820.wav,../test_set/audio/babble/00820.wav,babble,unknown,0.845000,16000,False,filipino_speech_corpus,audio/00820.wav,42,val,,
00857.wav,../test_set/audio/babble/00857.wav,babble,unknown,0.750000,16000,False,filipino_speech_corpus,audio/00857.wav,01,test,,
00912_c02.wav,../test_set/audio/babble/00912_c02.wav,babble,unknown,1.140187,16000,False,filipino_speech_corpus,audio/00912_c02.wav,32,train,,
01002_c01.wav,../test_set/audio/babble/01002_c01.wav,babble,unknown,0.430750,16000,False,filipino_speech_corpus,audio/01002_c01.wav,53,test,,
01052_c01.wav,../test_set/audio/babble/01052_c01.wav,babble,unknown,0.858062,16000,False,filipino_speech_corpus,audio/01052_c01.wav,36,train,,
01054.wav,../test_set/audio/babble/01054.wav,babble,unknown,0.858000,16000,False,filipino_speech_corpus,audio/01054.wav,22,train,,
01058.wav,../test_set/audio/babble/01058.wav,babble,unknown,0.825000,16000,False,filipino_speech_corpus,audio/01058.wav,55,train,,
01074.wav,../test_set/audio/babble/01074.wav,babble,unknown,0.880000,16000,False,filipino_speech_corpus,audio/01074.wav,33,train,,
01139.wav,../test_set/audio/babble/01139.wav,babble,unknown,0.825000,16000,False,filipino_speech_corpus,audio/01139.wav,57,val,,
01196.wav,../test_set/audio/babble/01196.wav,babble,unknown,0.925000,16000,False,filipino_speech_corpus,audio/01196.wav,57,val,,
01218_c00.wav,../test_set/audio/babble/01218_c00.wav,babble,unknown,1.800062,16000,False,filipino_speech_corpus,audio/01218_c00.wav,131,train,,
01320.wav,../test_set/audio/babble/01320.wav,babble,unknown,0.764000,16000,False,filipino_speech_corpus,audio/01320.wav,23,test,,
01398.wav,../test_set/audio/babble/01398.wav,babble,unknown,0.980000,16000,False,filipino_speech_corpus,audio/01398.wav,04,val,,
01438.wav,../test_set/audio/babble/01438.wav,babble,unknown,0.775000,16000,False,filipino_speech_corpus,audio/01438.wav,109,train,,
01605.wav,../test_set/audio/babble/01605.wav,babble,unknown,1.443000,16000,False,filipino_speech_corpus,audio/01605.wav,117,test,,
01624.wav,../test_set/audio/babble/01624.wav,babble,unknown,1.071000,16000,False,filipino_speech_corpus,audio/01624.wav,58,train,,
01651.wav,../test_set/audio/babble/01651.wav,babble,unknown,0.875000,16000,False,filipino_speech_corpus,audio/01651.wav,10,test,,
01734.wav,../test_set/audio/babble/01734.wav,babble,unknown,0.900000,16000,False,filipino_speech_corpus,audio/01734.wav,60,val,,
01783.wav,../test_set/audio/babble/01783.wav,babble,unknown,0.935000,16000,False,filipino_speech_corpus,audio/01783.wav,58,train,,
01904.wav,../test_set/audio/babble/01904.wav,babble,unknown,0.800000,16000,False,filipino_speech_corpus,audio/01904.wav,102,train,,
01910_c01.wav,../test_set/audio/babble/01910_c01.wav,babble,unknown,1.855813,16000,False,filipino_speech_corpus,audio/01910_c01.wav,115,val,,
02022.wav,../test_set/audio/babble/02022.wav,babble,unknown,0.900000,16000,False,filipino_speech_corpus,audio/02022.wav,48,train,,
02032_c01.wav,../test_set/audio/babble/02032_c01.wav,babble,unknown,1.524312,16000,False,filipino_speech_corpus,audio/02032_c01.wav,116,val,,
02105_c00.wav,../test_set/audio/babble/02105_c00.wav,babble,unknown,1.750250,16000,False,filipino_speech_corpus,audio/02105_c00.wav,140,train,,
02175.wav,../test_set/audio/babble/02175.wav,babble,unknown,0.775000,16000,False,filipino_speech_corpus,audio/02175.wav,108,test,,
02318.wav,../test_set/audio/babble/02318.wav,babble,unknown,0.927000,16000,False,filipino_speech_corpus,audio/02318.wav,43,train,,
02360_c02.wav,../test_set/audio/babble/02360_c02.wav,babble,unknown,1.617250,16000,False,filipino_speech_corpus,audio/02360_c02.wav,142,train,,
02360_c04.wav,../test_set/audio/babble/02360_c04.wav,babble,unknown,1.719188,16000,False,filipino_speech_corpus,audio/02360_c04.wav,142,train,,
02377.wav,../test_set/audio/babble/02377.wav,babble,unknown,0.846000,16000,False,filipino_speech_corpus,audio/02377.wav,35,test,,
02398_c00.wav,../test_set/audio/babble/02398_c00.wav,babble,unknown,1.701313,16000,False,filipino_speech_corpus,audio/02398_c00.wav,114,train,,
02441_c01.wav,../test_set/audio/babble/02441_c01.wav,babble,unknown,1.927812,16000,False,filipino_speech_corpus,audio/02441_c01.wav,145,test,,
02515.wav,../test_set/audio/babble/02515.wav,babble,unknown,0.950000,16000,False,filipino_speech_corpus,audio/02515.wav,107,train,,
02561.wav,../test_set/audio/babble/02561.wav,babble,unknown,0.766000,16000,False,filipino_speech_corpus,audio/02561.wav,06,train,,
02649.wav,../test_set/audio/babble/02649.wav,babble,unknown,0.769000,16000,False,filipino_speech_corpus,audio/02649.wav,23,test,,
02745.wav,../test_set/audio/babble/02745.wav,babble,unknown,0.900000,16000,False,filipino_speech_corpus,audio/02745.wav,106,val,,
02869.wav,../test_set/audio/babble/02869.wav,babble,unknown,0.899000,16000,False,filipino_speech_corpus,audio/02869.wav,37,test,,
02876.wav,../test_set/audio/babble/02876.wav,babble,unknown,0.872000,16000,False,filipino_speech_corpus,audio/02876.wav,39,val,,
03047.wav,../test_set/audio/babble/03047.wav,babble,unknown,0.761000,16000,False,filipino_speech_corpus,audio/03047.wav,28,train,,
03132.wav,../test_set/audio/babble/03132.wav,babble,unknown,0.830000,16000,False,filipino_speech_corpus,audio/03132.wav,50,val,,
03138.wav,../test_set/audio/babble/03138.wav,babble,unknown,1.000000,16000,False,filipino_speech_corpus,audio/03138.wav,100,val,,
03207.wav,../test_set/audio/babble/03207.wav,babble,unknown,0.850000,16000,False,filipino_speech_corpus,audio/03207.wav,103,val,,
03222.wav,../test_set/audio/babble/03222.wav,babble,unknown,0.825000,16000,False,filipino_speech_corpus,audio/03222.wav,100,val,,
03336.wav,../test_set/audio/babble/03336.wav,babble,unknown,0.914000,16000,False,filipino_speech_corpus,audio/03336.wav,121,val,,
03365.wav,../test_set/audio/babble/03365.wav,babble,unknown,1.241000,16000,False,filipino_speech_corpus,audio/03365.wav,132,train,,
03389.wav,../test_set/audio/babble/03389.wav,babble,unknown,0.896000,16000,False,filipino_speech_corpus,audio/03389.wav,09,val,,
03416.wav,../test_set/audio/babble/03416.wav,babble,unknown,0.840000,16000,False,filipino_speech_corpus,audio/03416.wav,03,train,,
03424.wav,../test_set/audio/babble/03424.wav,babble,unknown,0.804000,16000,False,filipino_speech_corpus,audio/03424.wav,26,train,,
03462.wav,../test_set/audio/babble/03462.wav,babble,unknown,0.975000,16000,False,filipino_speech_corpus,audio/03462.wav,64,train,,
03464_c03.wav,../test_set/audio/babble/03464_c03.wav,babble,unknown,1.046563,16000,False,filipino_speech_corpus,audio/03464_c03.wav,51,val,,
03497.wav,../test_set/audio/babble/03497.wav,babble,unknown,1.225000,16000,False,filipino_speech_corpus,audio/03497.wav,33,train,,
03566_c00.wav,../test_set/audio/babble/03566_c00.wav,babble,unknown,1.299500,16000,False,filipino_speech_corpus,audio/03566_c00.wav,120,train,,
03662.wav,../test_set/audio/babble/03662.wav,babble,unknown,0.834000,16000,False,filipino_speech_corpus,audio/03662.wav,34,train,,
03815.wav,../test_set/audio/babble/03815.wav,babble,unknown,0.881000,16000,False,filipino_speech_corpus,audio/03815.wav,26,train,,
03885.wav,../test_set/audio/babble/03885.wav,babble,unknown,0.956000,16000,False,filipino_speech_corpus,audio/03885.wav,24,train,,
03908.wav,../test_set/audio/babble/03908.wav,babble,unknown,0.897000,16000,False,filipino_speech_corpus,audio/03908.wav,51,val,,
03929.wav,../test_set/audio/babble/03929.wav,babble,unknown,1.191000,16000,False,filipino_speech_corpus,audio/03929.wav,42,val,,
03988.wav,../test_set/audio/babble/03988.wav,babble,unknown,1.225000,16000,False,filipino_speech_corpus,audio/03988.wav,105,train,,
04483.wav,../test_set/audio/babble/04483.wav,babble,unknown,1.084000,16000,False,filipino_speech_corpus,audio/04483.wav,00,val,,
04513.wav,../test_set/audio/babble/04513.wav,babble,unknown,0.764000,16000,False,filipino_speech_corpus,audio/04513.wav,17,train,,
04673.wav,../test_set/audio/babble/04673.wav,babble,unknown,1.015000,16000,False,filipino_speech_corpus,audio/04673.wav,08,test,,
04739.wav,../test_set/audio/babble/04739.wav,babble,unknown,1.294000,16000,False,filipino_speech_corpus,audio/04739.wav,44,val,,
04741.wav,../test_set/audio/babble/04741.wav,babble,unknown,0.925000,16000,False,filipino_speech_corpus,audio/04741.wav,55,train,,
04752_c03.wav,../test_set/audio/babble/04752_c03.wav,babble,unknown,1.700438,16000,False,filipino_speech_corpus,audio/04752_c03.wav,110,val,,
04753.wav,../test_set/audio/babble/04753.wav,babble,unknown,1.251000,16000,False,filipino_speech_corpus,audio/04753.wav,129,train,,
04805.wav,../test_set/audio/babble/04805.wav,babble,unknown,0.973000,16000,False,filipino_speech_corpus,audio/04805.wav,37,test,,
04869_c01.wav,../test_set/audio/babble/04869_c01.wav,babble,unknown,1.345750,16000,False,filipino_speech_corpus,audio/04869_c01.wav,121,val,,
05060.wav,../test_set/audio/babble/05060.wav,babble,unknown,1.075000,16000,False,filipino_speech_corpus,audio/05060.wav,62,train,,
05116.wav,../test_set/audio/babble/05116.wav,babble,unknown,0.930000,16000,False,filipino_speech_corpus,audio/05116.wav,50,val,,
05122_c20.wav,../test_set/audio/babble/05122_c20.wav,babble,unknown,1.532000,16000,False,filipino_speech_corpus,audio/05122_c20.wav,14,train,,
05122_c80.wav,../test_set/audio/babble/05122_c80.wav,babble,unknown,1.229375,16000,False,filipino_speech_corpus,audio/05122_c80.wav,14,train,,
05272.wav,../test_set/audio/babble/05272.wav,babble,unknown,1.503000,16000,False,filipino_speech_corpus,audio/05272.wav,35,test,,
05312.wav,../test_set/audio/babble/05312.wav,babble,unknown,1.249000,16000,False,filipino_speech_corpus,audio/05312.wav,52,val,,
05327.wav,../test_set/audio/babble/05327.wav,babble,unknown,1.009000,16000,False,filipino_speech_corpus,audio/05327.wav,17,train,,
05385.wav,../test_set/audio/babble/05385.wav,babble,unknown,0.917000,16000,False,filipino_speech_corpus,audio/05385.wav,01,test,,
